rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,tail_percentile,tail_distance
1,ATEN,"A10 Networks, Inc.",Technology,2648813056.00000000,2026-07-13,36.79000092,0.15983612,0.53291670,1.12413404,0.43032059,1.03760887,XLK,0.26184669,0.86733986,0.05332386,0.04034690,0.04571658,0.36756954,46.00000000,17.00000000,0.73015873,0.79701247,0.91038023,global_tail,quiet_drift_sector_relative_126d_top;quiet_drift_sector_coverage_top,126d,up,0.96467263,0.92934527
2,ENVA,"Enova International, Inc.",Financial Services,5773544448.00000000,2026-07-13,232.00999451,0.28951755,0.60062090,0.40757139,0.49802478,0.32104621,XLF,0.49622856,0.40453028,0.05638771,0.02536677,0.04294541,0.36044950,40.00000000,23.00000000,0.63492063,0.61450666,1.02497321,sector_coverage,quiet_drift_sector_coverage_top,63d,up,0.94434051,0.88868101
3,DINO,HF Sinclair Corporation,Energy,14728503296.00000000,2026-07-13,81.69999695,0.15460704,0.42062249,0.61462449,0.31802637,0.52809932,XLE,0.42413490,0.39572003,0.06329457,0.05262419,0.04779575,0.26621701,38.00000000,25.00000000,0.60317460,1.13860957,1.06643843,sector_coverage,quiet_drift_sector_coverage_top;quiet_drift_sector_coverage_bottom,63d,up,0.92797007,0.85594013
4,CON,Concentra Group Holdings Parent,Healthcare,4016720128.00000000,2026-07-13,31.38999939,0.17963167,0.43137250,0.57659466,0.32877638,0.49006948,XLV,0.33565594,0.55578762,0.03704905,0.02838983,0.04628371,0.45071793,38.00000000,24.00000000,0.61290323,0.72327325,0.87854970,sector_coverage,quiet_drift_sector_coverage_top,126d,up,0.92416392,0.84832784
5,RLJ,RLJ Lodging Trust,Real Estate,1742324736.00000000,2026-07-13,11.40999985,0.07236837,0.45350318,0.48567710,0.35090706,0.39915192,XLRE,0.40959844,0.38033579,0.05029941,0.01981976,0.05578497,0.41726101,43.00000000,19.00000000,0.69354839,0.95441868,0.93277094,sector_coverage,quiet_drift_sector_coverage_top,63d,up,0.92376052,0.84752105
6,CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,4071715328.00000000,2026-07-13,81.94999695,0.16043605,0.38546061,0.43797148,0.28286449,0.35144630,XLY,0.35755732,0.49394282,0.06946504,0.03781718,0.06235877,0.29432683,37.00000000,26.00000000,0.58730159,1.05304589,0.80717668,sector_coverage,quiet_drift_sector_coverage_top,63d,up,0.91393826,0.82787652
7,TDS,"Telephone and Data Systems, Inc",Communication Services,3801451520.00000000,2026-07-13,33.38999939,-0.16357713,-0.27159687,-0.18021115,-0.37419299,-0.26673633,XLC,-0.25088603,-0.13007490,0.06800086,0.01355149,0.07941477,0.36762412,26.00000000,37.00000000,0.41269841,0.88556998,0.84677158,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,0.09027128,0.81945744
8,HTHT,H World Group Limited,Consumer Cyclical,12571573248.00000000,2026-07-13,40.88000107,-0.08217332,-0.22103656,-0.19732965,-0.32363268,-0.28385483,XLY,-0.24893984,-0.14135831,0.05871952,0.03750982,0.05931653,0.25090637,28.00000000,35.00000000,0.44444444,0.57782172,0.80778451,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,0.09307764,0.81384471
9,RGLD,"Royal Gold, Inc.",Basic Materials,16419141632.00000000,2026-07-13,193.47000122,-0.01826765,-0.27490445,-0.20656986,-0.37750056,-0.29309504,XLB,-0.24834561,-0.27141201,0.06404138,0.05415036,0.05134305,0.25658413,22.00000000,41.00000000,0.34920635,0.85586449,0.78698177,sector_coverage,quiet_drift_sector_coverage_top;quiet_drift_sector_coverage_bottom,63d,down,0.09401310,0.81197381
10,NOC,Northrop Grumman Corporation,Industrials,76956573696.00000000,2026-07-13,541.82000732,-0.00059027,-0.19579056,-0.08288897,-0.29838668,-0.16941414,XLI,-0.24738799,-0.20900495,0.06978900,0.02584551,0.08100927,0.25173704,24.00000000,39.00000000,0.38095238,0.67129604,1.15629223,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,0.09494855,0.81010290
