market_data_date,ticker,rank,signal_score,trigger_count
2026-07-10,CRNX,1,76.5949,6
2026-07-10,DFTX,2,43.0237,5
2026-07-10,TRAX,3,40.2511,4
2026-07-10,HQ,4,38.8878,4
2026-07-10,QURE,5,35.9057,5
2026-07-10,MBX,6,30.1849,4
2026-07-10,APGE,7,28.8039,5
2026-07-10,BFLY,8,26.2221,5
2026-07-10,ABSI,9,23.1836,5
2026-07-10,SLS,10,20.3378,4
2026-07-10,WYFI,11,20.1154,4
2026-07-10,ABVX,12,18.9143,4
2026-07-10,ATEX,13,18.9035,4
2026-07-10,KYMR,14,17.8781,5
2026-07-10,IONS,15,16.8461,6
2026-07-10,QDEL,16,15.9031,5
2026-07-10,CBRL,17,15.3298,4
2026-07-10,ZBIO,18,15.0766,3
2026-07-10,ELVN,19,14.6955,4
2026-07-10,PENG,20,14.4266,6
2026-07-10,NRIX,21,14.4176,4
2026-07-10,NVTS,22,14.1947,4
2026-07-10,PRCH,23,14.1024,3
2026-07-10,SMCI,24,14.0033,4
2026-07-10,ICHR,25,13.6042,4
2026-07-10,TECH,26,13.5888,5
2026-07-10,PRIM,27,13.5503,4
2026-07-10,BWIN,28,13.4086,5
2026-07-10,AGIO,29,13.3481,3
2026-07-10,LUNR,30,13.2747,3
2026-07-10,BRBR,31,13.2493,3
2026-07-10,SOLS,32,13.2257,6
2026-07-10,TENB,33,13.1569,3
2026-07-10,MMYT,34,13.0225,4
2026-07-10,WOLF,35,12.8078,4
2026-07-10,ACN,36,12.659,5
2026-07-10,BHVN,37,12.638,4
2026-07-10,WDFC,38,12.5914,6
2026-07-10,RARE,39,12.5509,3
2026-07-10,PCT,40,12.4677,4
2026-07-10,SEZL,41,12.4428,3
2026-07-10,PGEN,42,12.3888,3
2026-07-10,GSHD,43,12.3765,3
2026-07-10,ON,44,12.3598,5
2026-07-10,PTRN,45,12.3365,4
2026-07-10,PSNL,46,12.1124,3
2026-07-10,FLNC,47,12.1044,4
2026-07-10,COMP,48,11.9246,3
2026-07-10,AVAV,49,11.8093,4
2026-07-10,ALMS,50,11.7807,3
